refArea,Indicator Code,Value,Observation URI,references,publisher,dataset,refPeriod
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,1.074432e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2002,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2002
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,1.812946e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2003,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2003
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,1.90146e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2004,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2004
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,1.876832e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2005,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2005
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,2.001159e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2006,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2006
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,2.381892e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2007,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2007
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,3.127551e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2008,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2008
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,3.170535e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2009,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2009
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,3.21787e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2010,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2010
http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,3.289586e+10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2011,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2011
